,0,1
0,me,"[[ 0.09722305  0.13914385 -0.07299903 -0.02299095  0.07773948  0.21391653
   0.04781186  0.03174062 -0.03000263  0.02664323  0.04210023  0.04464608
   0.09216991 -0.18073775  0.0110912   0.02205642 -0.01139943  0.00916511
  -0.17804192  0.16798393  0.03924084  0.01137809  0.03738434  0.15765357
  -0.06553446 -0.14269033 -0.0581133  -0.11849429  0.01873759  0.08296254
  -0.0085047  -0.01694298 -0.04376692  0.13042782 -0.01710841  0.02697698
   0.04106496  0.04619239 -0.10234759  0.00164102 -0.00705053 -0.07994354
   0.02068504  0.03301489 -0.09033382 -0.03938048  0.1360185   0.08091518
  -0.16653651  0.22385707  0.06631181 -0.11622173 -0.11115527 -0.00076503
   0.09241518  0.01328021 -0.13930981  0.09191412 -0.01391919 -0.08761067
  -0.13583873  0.01949724  0.16341501 -0.25054726  0.05582743 -0.07069182
  -0.0142728  -0.0006793  -0.22606912 -0.02057475  0.00440075  0.07387906
  -0.03823642  0.02826422  0.00999314  0.03399859  0.06312942  0.07442351
   0.07180916  0.03223136  0.039755   -0.0179402  -0.06829763 -0.02583351
  -0.03053019  0.0642549  -0.0330026  -0.01865899  0.09154162  0.17293435
   0.04568478 -0.20931439 -0.10549576  0.06600509 -0.01835494  0.02462497
  -0.02022927 -0.0255176  -0.04100684 -0.00334691  0.02595824 -0.00031713
  -0.09816314  0.04783086 -0.16645347  0.0917661  -0.10509806  0.0086749
  -0.0457156   0.01862436  0.06330752  0.17040223  0.0423589   0.0560965
  -0.00743528  0.00914796 -0.09228531  0.02186242 -0.05259389  0.13356343
   0.0064886  -0.01434306  0.09094501  0.13067764  0.02632605  0.03455476
   0.00850009 -0.1682781 ]]"
1,t10,"[[ 0.11423574  0.14133465  0.09675921  0.05179743  0.07096679  0.19574973
   0.14096008 -0.02325359 -0.12485551 -0.05549335  0.00258062 -0.00713072
   0.06912846 -0.01032903  0.12075851 -0.09717132  0.10235677  0.06999422
  -0.10011277  0.03217291 -0.00282441  0.0895166  -0.11409903  0.09372252
  -0.01408602 -0.13229935 -0.20549887 -0.01099373  0.0265552   0.06327677
  -0.01165516  0.17032965 -0.12653634  0.12817751  0.04199859 -0.00101656
   0.10884617 -0.06096223  0.00852765 -0.04662223  0.17509292 -0.04180314
   0.06925637 -0.13396478 -0.09685376  0.04740169  0.07161618  0.00118154
  -0.18254638 -0.03067494  0.03179784 -0.05792696  0.03519428  0.03191086
   0.0098657   0.04014981 -0.09577783  0.05403363  0.00942061 -0.02805702
  -0.07047672  0.15959916 -0.0418991  -0.24006005  0.03017651  0.1625121
   0.11696602 -0.08800776 -0.2034603  -0.0665543   0.01344174 -0.01469418
   0.02558477  0.03118846  0.0456385   0.0744524   0.01571167 -0.06122472
   0.06058217 -0.03442474  0.02171618  0.07636459 -0.00905674 -0.0538995
   0.05833016  0.07456264  0.02047246 -0.09215523 -0.11654985  0.16361138
   0.13051143 -0.1282429   0.01554255  0.04011106 -0.13735159  0.01434673
   0.04445709 -0.02455121 -0.00866338  0.03210982  0.02808     0.08652926
  -0.00057562  0.13434811 -0.15801932  0.1030461  -0.00889173  0.05951666
  -0.11683587  0.02108455  0.07282209 -0.00421111 -0.06280047 -0.04052517
  -0.04103585 -0.09289075 -0.16421205 -0.01741238 -0.05388132 -0.00413473
   0.03123267 -0.05860668  0.00556444  0.05927924  0.11446457  0.04621833
  -0.02741288 -0.17432626]]"
2,t11,"[[ 1.16491817e-01 -1.56117789e-03  2.02352889e-02 -1.07899807e-01
   5.36210984e-02  1.79495856e-01  1.67508684e-02  1.50657982e-01
  -1.18638225e-01 -3.33226472e-02 -2.81416923e-02  5.46933934e-02
   1.33806154e-01 -4.81779538e-02  2.27569286e-02 -2.79269721e-02
  -2.82565998e-05 -6.06871471e-02 -1.63813233e-01  2.05601126e-01
   7.19799325e-02  4.83918414e-02  6.74709082e-02  1.19193606e-01
  -1.58807188e-01 -3.81695367e-02 -7.81692192e-02 -9.07273144e-02
  -1.10687083e-03 -1.73787773e-02 -7.76610747e-02 -4.36659865e-02
  -7.58003965e-02  1.31819919e-01 -7.09520802e-02  4.12631221e-02
  -1.45962434e-02  1.92170978e-01 -1.35968536e-01  3.99075933e-02
  -3.03956009e-02  2.41207369e-02 -9.68413651e-02 -5.22995219e-02
  -8.66879299e-02 -2.07604039e-02  7.15447590e-02  4.26310413e-02
  -1.38935000e-01  2.31228948e-01  2.52999533e-02 -7.18981922e-02
  -9.83448029e-02  1.03032053e-01  1.22498080e-01 -5.15947416e-02
  -1.88767724e-02  1.00401476e-01 -1.36030186e-02 -1.45416185e-01
  -5.72226904e-02  9.75954458e-02  1.08893231e-01 -1.43667236e-01
   1.75644341e-03 -8.18090066e-02  5.63663132e-02  1.20568067e-01
  -1.08113825e-01 -1.65776461e-02  6.18875809e-02  4.48511317e-02
   2.04563886e-02  7.16110915e-02  1.91826541e-02  6.05336502e-02
  -1.42225409e-02 -5.03744930e-03  1.46848530e-01  4.50229608e-02
   1.68534257e-02  7.06382887e-03 -8.92944820e-03 -5.77450767e-02
  -2.27203146e-02 -1.26983868e-02  6.45052418e-02  9.32634622e-02
   1.12104125e-01  1.13659173e-01  7.29469731e-02 -1.75521269e-01
  -5.22645470e-03  1.11231163e-01 -7.44132698e-02 -2.52166744e-02
   4.52503711e-02 -2.32991446e-02 -6.38611764e-02 -6.04986539e-03
   5.95753714e-02  5.99157773e-02 -1.31591693e-01  8.17908421e-02
  -1.82337418e-01  6.60180375e-02 -1.63299844e-01 -4.57684547e-02
  -3.54356095e-02 -5.89359328e-02  9.08910930e-02  2.06760421e-01
  -1.87524520e-02  6.65915012e-02  5.08865062e-03  8.18058848e-02
  -1.19696394e-01 -5.85518032e-02 -1.12287320e-01  8.14740509e-02
  -6.30271509e-02 -1.41832686e-03  1.00901231e-01  5.05797341e-02
   8.27552471e-03  4.82358560e-02 -4.22989065e-03 -1.32746786e-01]]"
3,t12,"[[ 0.04808855  0.13542525 -0.05100951 -0.02770665  0.09253665  0.20300524
   0.11148476 -0.04075569  0.04179702 -0.02599061  0.06420255  0.01901407
   0.03976727 -0.02508833  0.06636306 -0.05308897 -0.02775925 -0.02669199
  -0.12505722  0.06169702  0.02766895  0.02987376 -0.05005755  0.11113768
  -0.00230787 -0.11343563 -0.10503241 -0.04278796  0.10067254  0.07631689
   0.07526992  0.01809461 -0.06661437  0.06242798  0.03438103  0.12029438
  -0.01158158  0.02076004 -0.07842354 -0.01481253  0.06546851 -0.00995622
  -0.05237565  0.01823549 -0.07803848  0.05454258  0.06561507  0.08009461
  -0.13440697  0.00667225 -0.12209709  0.02061553 -0.02432865 -0.07156364
   0.06827477  0.08871529 -0.23278119  0.22063941 -0.12309118 -0.0223785
  -0.18338321  0.05541544  0.2393129  -0.2120283   0.07083482  0.10133113
   0.03473293  0.02877222 -0.2006839   0.0541079   0.07761987  0.07231426
  -0.0399515   0.02047176  0.05420299  0.05126917  0.01575056 -0.0135642
   0.03701366 -0.04958422  0.00528485  0.06135822 -0.0710506  -0.07885702
  -0.0534759   0.01797646  0.01557728 -0.0309435  -0.0085656   0.15067263
   0.17450863 -0.1742743  -0.05376352  0.04934901  0.04422025 -0.02439483
  -0.01262361 -0.08153622  0.04435153  0.01723909  0.00482355 -0.01542272
  -0.0826107  -0.04073944 -0.23537093  0.19629736 -0.05591456 -0.03770279
   0.01466515 -0.00723968  0.12306424  0.09909457 -0.03679922  0.00597662
   0.08729573  0.03378513 -0.10498525 -0.00379839  0.05144028  0.14097589
   0.05137088 -0.07884243  0.0228333   0.14788075 -0.01707358  0.12489562
   0.03368908 -0.1236635 ]]"
4,t13,"[[ 0.1338325   0.01104283  0.08723535  0.08323108  0.2192669   0.1831858
   0.15974839 -0.1001828  -0.02088634 -0.04168392 -0.0485571   0.09296177
   0.04253901  0.01315452  0.07994966 -0.05668148  0.12936392  0.09061021
  -0.10119396  0.04241049  0.03543816  0.10741597 -0.00500596  0.16204785
  -0.00835018 -0.13840187 -0.16651933 -0.06522112  0.02087507  0.09088866
   0.01160424  0.15763058 -0.11857903  0.08764338  0.06739461 -0.0175572
   0.08263502  0.00200177 -0.06075258 -0.08007318  0.14144804  0.05775414
  -0.00194122 -0.14921063 -0.15728709  0.04280207 -0.01840942  0.03937895
  -0.00844147 -0.03388244  0.1109246  -0.06949864  0.06266926 -0.02716244
   0.07477092  0.0125078  -0.02890781  0.11820065 -0.01487165  0.03511367
  -0.02461076  0.10751331 -0.03657774 -0.24253811  0.15293448  0.00411921
   0.04128458  0.00376054 -0.18697123  0.08222628  0.03453021  0.0888793
   0.01311987 -0.02904679 -0.06391355  0.13446261  0.04354529  0.00404371
   0.03411591 -0.07474838  0.02876614  0.11915051  0.01778632 -0.01008636
   0.10494588 -0.09484345  0.06634613  0.02591644 -0.17554721  0.13299006
   0.09104644 -0.06947907  0.0333861   0.05781985 -0.09703545 -0.00231094
   0.03668781 -0.0476544   0.05517749  0.0664713   0.13262898  0.06312674
  -0.04053406  0.09792367 -0.09579868 -0.03114438 -0.01542337 -0.07994287
  -0.04081884  0.06499773  0.03511675  0.03829837  0.03226697 -0.00820748
   0.01215678  0.00533693 -0.1892095   0.03381669 -0.17244625  0.07772442
   0.00255194  0.02680059 -0.04986119 -0.00263275  0.06357246  0.13524656
  -0.08967886 -0.17004625]]"
5,t14,"[[ 1.42344549e-01 -3.60911377e-02 -7.71049932e-02 -2.85545699e-02
   1.26320392e-01  9.13059935e-02  1.37970865e-01 -1.70372170e-03
   1.73271131e-02 -1.32676005e-01 -7.14384159e-03  8.42785612e-02
   1.29056796e-01 -1.66805852e-02 -1.54262278e-04 -2.43303645e-02
   3.21511403e-02 -5.25120981e-02 -1.92590877e-01  2.16350242e-01
   6.06136620e-02  2.65453998e-02 -1.26879746e-02  8.65161568e-02
  -1.45337850e-01 -8.34169984e-02 -1.54437363e-01 -1.21026538e-01
  -5.78074940e-02  1.05324082e-01 -5.71569987e-02  1.12687960e-01
  -3.85532118e-02  1.34002954e-01 -3.85499746e-03  5.77434562e-02
   9.08537954e-02  1.33714885e-01 -1.07567459e-01 -5.35270609e-02
   4.58025225e-02  1.50528355e-02  8.17695074e-03 -5.57988025e-02
  -6.40594214e-02  7.58098587e-02  5.36973290e-02  5.08443452e-02
  -7.94361904e-02  1.26570880e-01 -8.91646296e-02 -1.65581718e-01
  -1.20874625e-02  7.70462155e-02  1.44581974e-01 -1.41698439e-02
  -1.36010140e-01  1.14611305e-01 -9.49164182e-02 -4.83439770e-03
  -5.57361133e-02  7.73864985e-02  1.01703048e-01 -2.00448871e-01
   4.91475537e-02 -4.04720567e-02  1.54083539e-02  6.17937855e-02
  -1.23240173e-01 -1.28320187e-01  5.19057475e-02 -2.30406690e-02
  -1.08182281e-02 -1.60994648e-03 -1.09953787e-02  1.23275734e-01
   6.73346817e-02 -2.95922998e-02  6.22704215e-02 -1.02516217e-02
   4.01705392e-02  1.58051066e-02 -1.27110228e-01 -5.52287698e-02
  -4.38281819e-02  7.46394843e-02  3.12410686e-02 -1.62895862e-02
  -2.90222391e-02  1.41261876e-01  1.47029221e-01 -2.18621582e-01
  -2.07786094e-02  4.16099913e-02 -7.01198280e-02  5.41386791e-02
  -1.04504181e-02 -8.29365775e-02  4.25113253e-02  3.53577733e-02
   5.12023978e-02 -2.26109046e-02 -8.85469839e-02  8.02923217e-02
  -1.60164312e-01  5.68682589e-02 -1.28093481e-01  3.84374186e-02
  -1.12611093e-01  3.11724897e-02  4.45811227e-02  6.78284392e-02
  -5.69046326e-02  6.76277978e-03 -3.58801670e-02  7.22788200e-02
  -1.08941779e-01 -3.01152114e-02 -1.09731391e-01  9.68112424e-02
  -3.87723818e-02  6.45637661e-02  6.77824020e-02  1.70240492e-01
   7.20821135e-03  2.41509415e-02 -6.08475842e-02 -1.99539647e-01]]"
6,t1,"[[ 0.01872638  0.18900451  0.04040387  0.06608725 -0.01316547  0.21406667
   0.07268133 -0.03513553 -0.08400942  0.01952351  0.08449418 -0.01553865
  -0.00851438 -0.04538093  0.1194135  -0.1117682  -0.06216162  0.0572287
   0.00465136 -0.00988815 -0.03207777 -0.03266615 -0.01677142  0.07095709
   0.09566699 -0.14286266 -0.0649844  -0.0158599   0.03095432  0.03499122
   0.02028508  0.01974028 -0.04094646  0.09130251  0.03013888  0.02133178
   0.04111476 -0.05263031  0.00381733 -0.03012358  0.12208275 -0.13435856
   0.04643693 -0.05516937 -0.15841855 -0.06237369  0.09584404 -0.01112781
  -0.20486188  0.0290719   0.00114224 -0.01687681  0.00124875  0.01285267
   0.01527759  0.10643028 -0.12273496  0.09525915 -0.07944199 -0.03473359
  -0.15443695  0.06158213  0.14322342 -0.25877917  0.11207906  0.24898702
   0.03533876 -0.12566034 -0.25296265  0.07875573 -0.02615585  0.05184148
  -0.02726506  0.08517832  0.11930174 -0.01611304  0.04989738 -0.09048874
   0.01782942 -0.04641384 -0.08348633 -0.01764134  0.00078587 -0.06707543
  -0.04089504  0.07445144 -0.03762873 -0.07942083  0.0135042   0.1577953
   0.12973401 -0.17371948  0.00910418 -0.00207959 -0.02087622 -0.05710879
  -0.02851407  0.01513281  0.0443733   0.0322727  -0.03224381  0.02900998
  -0.0009586   0.00665474 -0.0695401   0.19848207  0.06142188  0.04511081
  -0.0724714  -0.06054922  0.04214726  0.0638326   0.04923669 -0.03277116
   0.05556639 -0.09935848 -0.0134046   0.04205727  0.15596987  0.1038081
   0.10178767 -0.18137386 -0.00790078  0.05815632  0.11215375  0.10185448
   0.12453833 -0.0484027 ]]"
7,t2,"[[ 4.73748669e-02  1.79597825e-01  2.44046506e-02  1.02531388e-02
   2.99429055e-02  2.26676345e-01 -5.96597930e-03 -2.04763543e-02
  -1.84716895e-01  4.64823209e-02  5.03904670e-02 -3.07789519e-02
   7.64245391e-02 -2.11527478e-02  7.62959644e-02 -7.50867799e-02
   9.95839238e-02  3.60416919e-02 -2.82803504e-03  1.22858390e-01
  -5.20542935e-02 -3.11139487e-02  4.28920835e-02  6.62632436e-02
  -8.78124149e-04 -8.79617110e-02 -1.01737127e-01  7.38322269e-03
   1.16256803e-01 -4.09202017e-02  3.90527584e-02  6.34938926e-02
  -4.69639860e-02  9.33869407e-02 -2.18405519e-02  6.53769001e-02
   4.25905697e-02  4.52157222e-02  3.87601145e-02 -2.14014649e-02
   7.65301138e-02 -1.02356859e-01 -4.55810390e-02 -1.80384010e-01
  -1.48598000e-01  2.08221804e-02  9.17452052e-02  6.83765933e-02
  -2.06692040e-01  3.62384245e-02 -1.90956518e-02  1.16149306e-01
   8.32115673e-03  1.82043556e-02 -3.92868333e-02  1.27071384e-02
   1.85030010e-02  2.56683193e-02 -4.67030220e-02 -4.20957655e-02
  -1.41397059e-01  1.79218873e-01  8.55638981e-02 -2.80223489e-01
   5.16258404e-02  1.61043838e-01  7.83780664e-02 -1.23303616e-02
  -2.43104935e-01  4.66710255e-02 -1.51185161e-02  1.30708609e-02
  -7.79895931e-02  1.19093314e-01  1.42780423e-01  3.82582424e-03
   5.72809167e-02  6.88023679e-03  1.03416674e-01 -6.31633680e-03
  -1.16278820e-01 -8.37498344e-03  4.38536517e-02 -2.61819959e-02
   3.81603464e-02  5.96386045e-02 -4.08585891e-02  1.39522767e-02
   1.14442324e-02  9.99994054e-02  1.18301250e-01 -8.27635303e-02
   1.01908691e-01  1.40968516e-01 -2.37762779e-02 -1.30044669e-01
   4.36532050e-02  8.70969519e-02 -5.35238199e-02 -4.68010269e-02
   3.11311055e-02  9.18166786e-02 -9.75506380e-02  1.34633675e-01
  -2.95103732e-02  2.01285228e-01  6.52177408e-02  1.55320214e-02
   4.19237129e-02 -3.18149216e-02 -1.65420678e-02  9.58577916e-02
   5.03117777e-02  6.19446710e-02  3.52674676e-03 -7.76776001e-02
  -1.33871511e-01 -5.02539985e-03  5.91395944e-02  1.36283517e-01
  -3.47874011e-03 -1.64194852e-01 -1.23906415e-02 -2.36029213e-04
   2.45198086e-02  1.37662500e-01  2.43781321e-02 -7.73052797e-02]]"
8,t3,"[[ 0.11081789  0.07956336 -0.06240524 -0.01621153  0.15693232  0.13249569
   0.1538448  -0.04545808 -0.10731712 -0.08415871 -0.01097418  0.04897609
   0.08773153 -0.02817944  0.01489444 -0.07980152  0.05602259 -0.01888098
  -0.13386461  0.20367853  0.02005094  0.00454669  0.0067921  -0.01600867
  -0.06659999 -0.05769216 -0.18167056 -0.08748546  0.06406337  0.06726088
  -0.04874616  0.13179407 -0.06229382  0.09317663  0.03104769  0.01600755
   0.05176141  0.17353193 -0.05320894 -0.12363193  0.09685478 -0.00905907
  -0.01574725 -0.04535794 -0.17173867  0.15644191  0.08424819  0.05655085
  -0.18234082  0.0451779  -0.11351677 -0.00483718 -0.00371284  0.02082022
   0.08205062 -0.05485193 -0.10935827  0.10865612 -0.11426152 -0.04530202
  -0.08315323  0.08501413  0.1565595  -0.17704444  0.10191782  0.04774052
   0.01254604  0.05902542 -0.15545519 -0.04578464  0.06343195  0.0032595
   0.01371717  0.05815532  0.0181955   0.08447948  0.01742308 -0.04153826
   0.07771243 -0.01882303 -0.04225921  0.04712576 -0.08191761 -0.05540518
   0.00701207 -0.02323684  0.01598694  0.04380329 -0.01106729  0.12748212
   0.19065824 -0.15284391 -0.02199624  0.037756   -0.06010073 -0.08151096
   0.07800426 -0.00951424  0.01968222 -0.03306108  0.02112738  0.05794062
  -0.05136025  0.10049883 -0.20804296  0.10776246 -0.03879785  0.13218714
   0.039799    0.00120376  0.11927482  0.09599093 -0.10193814  0.04133959
   0.01365042 -0.01854833 -0.1914741  -0.05916596 -0.00913634  0.10610562
  -0.05236629  0.02017774  0.02896252  0.12909539  0.05643988  0.04344665
   0.00812046 -0.20204169]]"
9,t4,"[[ 0.04327407  0.12800649 -0.04298423  0.00278702  0.10395723  0.12718469
   0.13735937 -0.04229805 -0.13827549  0.23815663  0.06047501 -0.01268188
   0.0276105  -0.00347188  0.23391475 -0.11599258  0.00817408  0.11667418
   0.14281394 -0.00613435 -0.08877106  0.00694667  0.03191027  0.03991944
   0.06972573 -0.10231061 -0.10168699 -0.07740464  0.16097036  0.11459756
  -0.05746226  0.0180367  -0.04050085 -0.0556604   0.07480162 -0.03850469
  -0.0172608  -0.03773993  0.08307059 -0.01040016  0.0474791  -0.05442922
  -0.13390325 -0.06004871 -0.25332695  0.06510463 -0.00745677  0.04853967
  -0.06814882 -0.09311745  0.01675198  0.15338196  0.03137431 -0.08273865
  -0.08122198  0.04853848  0.04157441  0.0749157  -0.11674814  0.08917356
  -0.10847125  0.01587043  0.11364591 -0.14537077  0.08629921  0.1382697
   0.01942652  0.005294   -0.142063   -0.06761719  0.03268737  0.16263127
  -0.0409647   0.01191496  0.03521576  0.06234451 -0.04267159 -0.08614104
   0.09820001 -0.0035866  -0.046235    0.00046797 -0.00125754  0.04532005
   0.0808499  -0.01837667 -0.01550087 -0.04447307  0.0507331   0.02341143
   0.03488655  0.02269739  0.04418824  0.08060423 -0.07337116 -0.22830884
  -0.01164827 -0.02546352  0.07733032 -0.03303158  0.11937166  0.03422197
   0.05245291 -0.07258835 -0.11899618  0.11788063  0.10663697 -0.02996475
   0.10392065  0.08691583  0.13200623  0.04206436  0.06434127 -0.07473817
  -0.02074138  0.00478024 -0.11649253  0.04538669  0.00694514  0.04916423
   0.02683732 -0.22805631 -0.09339854  0.0206235   0.00381242  0.16813953
  -0.01972986 -0.02138881]]"
